,Index,Bond length 1,Bond length 2,Length 3,Bond name,Bond Angle
422,45 35 24,1.6208326948145493,1.6198082812881927,2.7567038920265414,O Si O,116.56841248498584
424,36 35 30,1.5974202107404134,1.5918879602047165,2.5835644236491886,O Si O,108.20551275928088
425,45 35 30,1.6208326948145493,1.5918879602047165,2.6759156003593,O Si O,112.79512613292262
428,45 35 36,1.6208326948145493,1.5974202107404134,2.5191686143162846,O Si O,103.0283464293232
432,39 37 36,1.6214615758172315,1.610982970047586,2.6810524318896705,O Si O,112.07789311476141
433,42 37 36,1.628898016567049,1.610982970047586,2.6990566126722295,O Si O,112.83021959579293
434,43 37 36,1.622865662747705,1.610982970047586,2.44296191885664,O Si O,98.12608800413601
436,42 37 39,1.628898016567049,1.6214615758172315,2.6354843275849555,O Si O,108.35370615735422
437,43 37 39,1.622865662747705,1.6214615758172315,2.654587131319234,O Si O,109.81484172397353
440,43 37 42,1.622865662747705,1.628898016567049,2.7489772446527145,O Si O,115.42530412576069
444,34 38 32,1.611714617672247,1.6285639169045323,2.60356277637669,O Si O,106.93007046361696
445,39 38 32,1.6149094537090452,1.6285639169045323,2.737221947796174,O Si O,115.11150297672715
446,44 38 32,1.6318384194019435,1.6285639169045323,2.5836117904332454,O Si O,104.82465852277184
448,39 38 34,1.6149094537090452,1.611714617672247,2.563359871785553,O Si O,105.20478313401493
449,44 38 34,1.6318384194019435,1.611714617672247,2.742375171003305,O Si O,115.44646304722099
452,44 38 39,1.6318384194019435,1.6149094537090452,2.6534885515415945,O Si O,109.624933654987
456,43 40 31,1.6174195647022236,1.6250151735132343,2.731769193480517,O Si O,114.81110046130873
457,47 40 31,1.6116091720264232,1.6250151735132343,2.5569697028320464,O Si O,104.3723661679319
458,50 40 31,1.6117697532497024,1.6250151735132343,2.686603656371341,O Si O,112.20141209192364
460,47 40 43,1.6116091720264232,1.6174195647022236,2.7194584308399112,O Si O,114.74427200935618
461,50 40 43,1.6117697532497024,1.6174195647022236,2.501663851318059,O Si O,101.55615071216441
464,50 40 47,1.6117697532497024,1.6116091720264232,2.6292043604857223,O Si O,109.30676687883685
468,42 41 33,1.638939015346512,1.6096755151461342,2.6311994103857512,O Si O,108.17776827556953
469,49 41 33,1.6244242324044804,1.6096755151461342,2.6420221035356053,O Si O,109.55577343027315
470,51 41 33,1.6306991172438028,1.6096755151461342,2.6069964838405926,O Si O,107.12906268482728
472,49 41 42,1.6244242324044804,1.638939015346512,2.649627060820487,O Si O,108.56931511826461
473,51 41 42,1.6306991172438028,1.638939015346512,2.7302424132127774,O Si O,113.23746048176191
476,51 41 49,1.6306991172438028,1.6244242324044804,2.6681694670824387,O Si O,110.10600999656418
480,49 52 48,1.6232560086833008,1.6079719060170938,2.62004641338044,O Si O,108.35751743951775
481,84 52 48,1.6215377743354997,1.6079719060170938,2.6002336429714097,O Si O,107.24838001746313
482,97 52 48,1.6322815847886047,1.6079719060170938,2.5915793590652894,O Si O,106.22104589717146
484,84 52 49,1.6215377743354997,1.6232560086833008,2.650717436012774,O Si O,109.55409838060768
485,97 52 49,1.6322815847886047,1.6232560086833008,2.6969687995789093,O Si O,111.87427803573141
488,97 52 84,1.6322815847886047,1.6215377743354997,2.7182567237965127,O Si O,113.31564004125694
492,58 53 21,1.610340919271337,1.6175447983479396,2.627085347424894,O Si O,108.951728351018
493,84 53 21,1.621747103848639,1.6175447983479396,2.6600018686455753,O Si O,110.40364502531058
494,130 53 21,1.6374928854970665,1.6175447983479396,2.5827873690795142,O Si O,105.02104176935616
496,84 53 58,1.621747103848639,1.610340919271337,2.5730440273818975,O Si O,105.51676714984859
497,130 53 58,1.6374928854970665,1.610340919271337,2.6688589489760717,O Si O,110.51494337206013
500,130 53 84,1.6374928854970665,1.621747103848639,2.769092469977635,O Si O,116.3383609570906
504,61 63 59,1.6150439403787569,1.6200704010928093,2.6394585144815568,O Si O,109.34843412151406
505,62 63 59,1.6414124678334578,1.6200704010928093,2.648087941487583,O Si O,108.56762090550318
506,72 63 59,1.6410199785041377,1.6200704010928093,2.702817719823288,O Si O,111.95136846395097
508,62 63 61,1.6414124678334578,1.6150439403787569,2.604284780811442,O Si O,106.2057690256018
509,72 63 61,1.6410199785041377,1.6150439403787569,2.5934254444317855,O Si O,105.5898461937341
512,72 63 62,1.6410199785041377,1.6414124678334578,2.766596549384076,O Si O,114.88450854971592
516,60 64 56,1.6086032529531948,1.5959838812613063,2.5100963252203603,O Si O,103.12347148214054
517,61 64 56,1.6182036187745499,1.5959838812613063,2.68860571351408,O Si O,113.53886995189684
518,78 64 56,1.591603262249675,1.5959838812613063,2.6433828644108974,O Si O,112.04837394214523
520,61 64 60,1.6182036187745499,1.6086032529531948,2.6478555563339112,O Si O,110.28558661574252
521,78 64 60,1.591603262249675,1.6086032529531948,2.650535211678052,O Si O,111.83539247705946
524,78 64 61,1.591603262249675,1.6182036187745499,2.565903683999352,O Si O,106.1417848474563
528,66 65 62,1.6196470777952612,1.6337116506271399,2.682865736685416,O Si O,111.10428108843827
529,67 65 62,1.6219279403026112,1.6337116506271399,2.7127374810250333,O Si O,112.86606793598926
530,71 65 62,1.6255821825703343,1.6337116506271399,2.679197055091374,O Si O,110.57431546077977
532,67 65 66,1.6219279403026112,1.6196470777952612,2.5888794146550937,O Si O,106.00247491614606
533,71 65 66,1.6255821825703343,1.6196470777952612,2.602906788383796,O Si O,106.65665746434856
536,71 65 67,1.6255821825703343,1.6219279403026112,2.6497096754424905,O Si O,109.3568852591301
540,69 68 60,1.6069761541539018,1.6022835883728845,2.5638497338424657,O Si O,106.04862920114756
541,76 68 60,1.597579641776407,1.6022835883728845,2.5848155757282485,O Si O,107.76092564698207
542,82 68 60,1.5773659723444795,1.6022835883728845,2.633479798923051,O Si O,111.83221829226754
544,76 68 69,1.597579641776407,1.6069761541539018,2.694685515620569,O Si O,114.46856069920227
545,82 68 69,1.5773659723444795,1.6069761541539018,2.600641057208424,O Si O,109.50740843234846
548,82 68 76,1.5773659723444795,1.597579641776407,2.5570621528375925,O Si O,107.29371959871541
552,67 70 55,1.6238207003396983,1.6225675641574226,2.679686255515,O Si O,111.26546609706051
553,69 70 55,1.6109008238691955,1.6225675641574226,2.6771708865704347,O Si O,111.77825657206039
554,74 70 55,1.610541110121917,1.6225675641574226,2.6187241985692773,O Si O,108.18561815891354
556,69 70 67,1.6109008238691955,1.6238207003396983,2.6008331231717863,O Si O,107.03387580012645
557,74 70 67,1.610541110121917,1.6238207003396983,2.7329471960024097,O Si O,115.33739510299154
560,74 70 69,1.610541110121917,1.6109008238691955,2.5211227825798224,O Si O,102.99977362034824
564,57 75 54,1.5854671109615652,1.5980277133562864,2.644756524542683,O Si O,112.35552940274265
565,73 75 54,1.6029382747922778,1.5980277133562864,2.5840253658376064,O Si O,107.65889080743887
566,99 75 54,1.6022452472098065,1.5980277133562864,2.5465156122388235,O Si O,105.44622277980982
568,73 75 57,1.6029382747922778,1.5854671109615652,2.6158036556099056,O Si O,110.25076679660978
569,99 75 57,1.6022452472098065,1.5854671109615652,2.646293348903679,O Si O,112.22813184523882
572,99 75 73,1.6022452472098065,1.6029382747922778,2.6038934813151795,O Si O,108.66231464606898
